name,sell_price,buy_price,buy_orders,sell_orders,profit
ENCHANTED_BONE_BLOCK,59104.5,51608.5,33,139,7496
JACOBS_TICKET,12895.7,12200.4,575,1975,695.3000000000011
ENCHANTED_COOKED_SALMON,258728.1,253381.4,55,275,5346.700000000012
ENCHANTED_CACTUS,50247.3,45155.4,103,11,5091.9000000000015
CATALYST,90000,84982.3,160,729,5017.699999999997
UNSTABLE_FRAGMENT,2589.8,2342.8,647,697,247
LOG,8.8,8,392,266,0.8000000000000007
ENCHANTED_SEEDS,79.1,72.3,196,58,6.799999999999997
ENCHANTED_SUGAR_CANE,51851.4,51200.1,479,352,651.3000000000029
PURPLE_CANDY,4514.1,4365,4600,350,149.10000000000036
ENCHANTED_INK_SACK,46499.5,44312.2,266,161,2187.300000000003
ENCHANTED_GLOWSTONE_DUST,841,727.3,268,330,113.70000000000005
OBSIDIAN,47.7,43.1,1463,104,4.600000000000001
ENCHANTED_CARROT,192.9,190.7,1918,230,2.200000000000017
BLESSED_BAIT,253.5,181.4,420,225,72.1
RABBIT,9.5,6.4,604,67,3.0999999999999996
NETHER_STALK,4.1,3.9,1256,186,0.19999999999999973
SULPHUR,15.9,14.6,421,140,1.3000000000000007
ENCHANTED_RAW_BEEF,644.2,606.9,966,36,37.30000000000007
ENCHANTED_MITHRIL,1619.1,1595.8,875,34,23.299999999999955
TITANIUM_ORE,103.7,95.6,341,280,8.100000000000009
MAGMA_CREAM,8.8,7,484,11,1.8000000000000007
ENDER_PEARL,7,6.5,1456,275,0.5
COAL,9.6,9.2,498,189,0.40000000000000036
NULL_ATOM,36494,32801.3,36,177,3692.699999999997
GHAST_TEAR,28.5,21.6,490,161,6.899999999999999
LOG:2,4,2.8,418,62,1.2000000000000002
BLUE_SHARK_TOOTH,1928.4,1186.7,937,3,741.7
LOG:1,7.5,5.2,534,79,2.3
REFINED_MINERAL,74976.1,67288.8,550,1019,7687.300000000003
SPIKED_BAIT,71.5,34.8,917,163,36.7
LOG:3,6.7,4.3,574,61,2.4000000000000004
ENCHANTED_WATER_LILY,11273.6,10750.8,680,40,522.8000000000011
ENCHANTED_RAW_CHICKEN,679.9,613.6,669,344,66.29999999999995
ENCHANTED_GOLD,1544.8,1457.7,1754,837,87.09999999999991
ENCHANTED_CLOWNFISH,3203.2,3135.8,593,108,67.39999999999964
PACKED_ICE,30.9,26.2,757,85,4.699999999999999
YOUNG_FRAGMENT,2703.1,2621.3,1084,835,81.79999999999973
ENCHANTED_PORK,1567.8,1304,548,758,263.79999999999995
ENCHANTED_IRON_BLOCK,227978.5,216851.3,383,565,11127.200000000012
ENCHANTED_PRISMARINE_SHARD,409.4,365.5,39,67,43.89999999999998
ENCHANTED_LAVA_BUCKET,386435.4,377591.6,57,736,8843.800000000047
GREAT_WHITE_SHARK_TOOTH,999964.9,869678.2,507,198,130286.70000000007
DWARVEN_COMPACTOR,727148.1,673526.9,100,416,53621.19999999995
ENCHANTED_REDSTONE_LAMP,80696.2,69373,25,160,11323.199999999997
ENCHANTED_QUARTZ_BLOCK,1326623.7,1287866.2,83,470,38757.5
ENCHANTED_GLOWSTONE,75583.3,70005.1,219,340,5578.199999999997
NETHERRACK,1,0.6,267,29,0.4
RAW_FISH:2,19.6,18.2,270,184,1.4000000000000021
ENCHANTED_REDSTONE_BLOCK,50737.8,48754,463,754,1983.800000000003
ENCHANTED_LAPIS_LAZULI,807.1,796.4,584,905,10.700000000000045
PLASMA_BUCKET,4899999.5,4800000.5,32,795,99999
GREEN_CANDY,432.2,432.1,1491,625,0.0999999999999659
ENCHANTED_GRILLED_PORK,138877.8,130119.5,49,597,8758.299999999988
ENCHANTED_CARROT_STICK,10000,4501.5,405,403,5498.5
ENCHANTED_PACKED_ICE,103527.5,99928.2,244,549,3599.300000000003
SPONGE,102.1,91.5,634,154,10.599999999999994
RAW_FISH:1,8.6,8.5,447,113,0.09999999999999964
TREASURITE,62889.9,56890.1,91,30,5999.800000000003
GRAVEL,2.9,1.7,260,27,1.2
FEATHER,2.4,1.8,390,25,0.5999999999999999
ENCHANTED_REDSTONE,332,306,1325,445,26
ENCHANTED_ANCIENT_CLAW,3548.5,3100,512,372,448.5
WHALE_BAIT,1378.4,1159.3,1135,206,219.10000000000014
ENCHANTED_DARK_OAK_LOG,462,417.2,1412,94,44.80000000000001
ENCHANTED_NETHER_STALK,481.8,475.4,744,453,6.400000000000034
WOLF_TOOTH,124.9,98.8,565,306,26.10000000000001
BLAZE_ROD,29.9,25.9,3050,271,4
REVENANT_FLESH,1.5,0.8,1034,75,0.7
RAW_FISH:3,14.8,14.4,569,129,0.40000000000000036
MELON,2.3,1.6,814,87,0.6999999999999997
BONE,2,1.9,918,40,0.10000000000000009
ENCHANTED_SPRUCE_LOG,978,880.2,1699,131,97.79999999999995
HAY_BLOCK,38.9,29.4,730,117,9.5
ENCHANTED_SHARK_FIN,13098.9,8499.6,48,108,4599.299999999999
SOUL_FRAGMENT,829998.6,773380.6,85,105,56618
ENCHANTED_LEATHER,7187.7,6780.1,873,36,407.59999999999945
HOLY_FRAGMENT,2476.3,2348.7,511,654,127.60000000000036
COLOSSAL_EXP_BOTTLE,729999.9,676590,26,554,53409.90000000002
FLINT,18.2,16.7,203,253,1.5
CARROT_BAIT,35.6,24.8,261,65,10.8
ANCIENT_CLAW,214.5,193.3,738,528,21.19999999999999
ENCHANTED_ACACIA_LOG,856.3,735.2,477,123,121.09999999999991
STRONG_FRAGMENT,14190.3,13460.1,522,178,730.1999999999989
ENCHANTED_ENDSTONE,697.2,549.5,1695,205,147.70000000000005
ENCHANTED_COOKIE,67094.7,63700.1,84,121,3394.5999999999985
ENCHANTED_LAPIS_LAZULI_BLOCK,59397.5,57010.1,249,3031,2387.4000000000015
INK_SACK,601,550.2,344,450,50.799999999999955
ENCHANTED_SPONGE,4204.9,3883.4,1046,278,321.49999999999955
ENCHANTED_SAND,632.7,519.1,261,425,113.60000000000002
ENCHANTED_COCOA,489.9,460.7,1026,183,29.19999999999999
RAW_CHICKEN,14.3,10.2,552,171,4.100000000000001
ENCHANTED_EGG,1682.3,1602,297,25,80.29999999999995
SLIME_BALL,8.4,5.7,422,67,2.7
BOOSTER_COOKIE,2019138.8,1976530.9,3104,2847,42607.90000000014
ENCHANTED_ROTTEN_FLESH,1071.9,1003.8,4470,157,68.10000000000014
ENCHANTED_CACTUS_GREEN,452.4,415.4,849,439,37
ENCHANTED_GHAST_TEAR,196.5,179.1,916,200,17.400000000000006
ENCHANTED_STRING,1476.5,1456.3,2056,243,20.200000000000045
PUMPKIN_GUTS,58920.6,46001.8,240,88,12918.799999999996
SAND,3.7,2.9,954,17,0.8000000000000003
SNOW_BALL,0.8,0.5,888,79,0.30000000000000004
SEEDS,0.7,0.6,1510,47,0.09999999999999998
JERRY_BOX_GOLDEN,835999.8,750815,6438,1969,85184.80000000005
GOLDEN_TOOTH,70388,67500.2,75,472,2887.800000000003
ENCHANTED_MELON_BLOCK,25915.1,25147.4,384,1215,767.6999999999971
GRAND_EXP_BOTTLE,5055.6,5000.3,197,4372,55.30000000000018
ENCHANTED_SNOW_BLOCK,599.6,591,663,753,8.600000000000023
TIGHTLY_TIED_HAY_BALE,999999.1,677000.2,24,224,322998.9
REFINED_DIAMOND,517999.1,473001,22,659,44998.09999999998
HYPER_CATALYST,104858.4,96507.6,341,398,8350.799999999988
HUGE_MUSHROOM_2,75.5,41.1,199,317,34.4
ENCHANTED_GLISTERING_MELON,5849.5,4502.9,238,556,1346.6000000000004
REDSTONE,2.6,1.9,447,268,0.7000000000000002
TIGER_SHARK_TOOTH,39189.6,17800.4,226,197,21389.199999999997
ENCHANTED_HUGE_MUSHROOM_2,57990.9,45001.4,52,89,12989.5
ENCHANTED_HUGE_MUSHROOM_1,6660.8,3762.9,50,206,2897.9
ENCHANTED_CAKE,2995.4,1674.5,51,228,1320.9
ENCHANTED_BLAZE_ROD,271986.9,253004.5,99,232,18982.400000000023
ENCHANTED_RABBIT_HIDE,27880,23483,102,739,4397
ENCHANTED_SPIDER_EYE,920.5,822.6,649,703,97.89999999999998
PROTECTOR_FRAGMENT,2529.2,2303.4,247,533,225.79999999999973
ENCHANTED_EMERALD,1139.6,1073.3,406,651,66.29999999999995
